country,year,Population,GDP
Early-demographic dividend,2000,2473204321,"3,284,075,333,940 "
Early-demographic dividend,1999,2428750673,"3,028,971,934,065 "
Early-demographic dividend,1998,2384027372,"2,855,593,134,320 "
Early-demographic dividend,1997,2339055962,"2,900,807,271,289 "
Early-demographic dividend,1996,2294124499,"2,715,128,075,274 "
Early-demographic dividend,1995,2249548153,"2,486,371,780,835 "
Early-demographic dividend,1994,2205478532,"2,425,290,892,851 "
Early-demographic dividend,1993,2161775525,"2,317,276,522,063 "
Early-demographic dividend,1992,2118156196,"2,119,935,078,882 "
Early-demographic dividend,1991,2074306790,"1,934,238,847,203 "
Early-demographic dividend,1990,2029981092,"1,826,235,778,637 "
Early-demographic dividend,1989,1983464632,"1,585,843,347,999 "
Early-demographic dividend,1988,1938610747,"1,550,984,925,464 "
Early-demographic dividend,1987,1893586588,"1,439,029,623,449 "
Early-demographic dividend,1986,1848663355,"1,428,120,849,050 "
Early-demographic dividend,1985,1804081410,"1,409,467,268,613 "
Early-demographic dividend,1984,1759875499,"1,376,685,018,629 "
Early-demographic dividend,1983,1716152739,"1,398,165,805,812 "
Early-demographic dividend,1982,1673182374,"1,384,589,160,793 "
Early-demographic dividend,1981,1631355333,"1,456,145,680,725 "
Early-demographic dividend,1980,1590931253,"1,302,882,228,290 "
Early-demographic dividend,1979,1552055886,"1,055,005,167,231 "
Early-demographic dividend,1978,1514688000,"868,271,000,765 "
Early-demographic dividend,1977,1478619136,"783,902,810,499 "
Early-demographic dividend,1976,1443466317,"700,637,781,234 "
Early-demographic dividend,1975,1408970396,"640,945,291,507 "
Early-demographic dividend,1974,1375075563,"596,238,971,178 "
Early-demographic dividend,1973,1341833433,"425,825,195,643 "
Early-demographic dividend,1972,1309264805,"332,934,196,104 "
Early-demographic dividend,1971,1277520490,"303,061,500,027 "
Early-demographic dividend,1970,1246583735,"280,264,809,887 "
Early-demographic dividend,1969,1216495817,"265,289,645,811 "
Early-demographic dividend,1968,1187224115,"237,402,964,705 "
Early-demographic dividend,1967,1158749092,"219,611,729,259 "
Early-demographic dividend,1966,1130979984,"209,323,344,494 "
Early-demographic dividend,1965,1104010610,"212,525,523,011 "
Early-demographic dividend,1964,1077759547,"194,731,534,533 "
Early-demographic dividend,1963,1052236205,"169,793,834,237 "
Early-demographic dividend,1962,1027454562,"160,506,635,352 "
Early-demographic dividend,1961,1003380277,"155,130,157,559 "
Early-demographic dividend,1960,980067595,"154,062,305,606 "
East Asia & Pacific,2015,2279186469,"21,281,190,210,608 "
East Asia & Pacific,2014,2264064351,"21,489,750,195,354 "
East Asia & Pacific,2013,2248920288,"20,875,744,465,602 "
East Asia & Pacific,2012,2233936812,"20,672,762,161,030 "
East Asia & Pacific,2011,2219109404,"19,305,185,364,057 "
East Asia & Pacific,2010,2204613382,"16,673,982,045,590 "
East Asia & Pacific,2009,2190185797,"14,286,733,547,469 "
East Asia & Pacific,2008,2175670361,"13,879,943,313,791 "
East Asia & Pacific,2007,2160761464,"12,034,386,705,189 "
East Asia & Pacific,2006,2146013429,"10,735,047,074,407 "
East Asia & Pacific,2005,2130541816,"10,109,793,687,934 "
East Asia & Pacific,2004,2114743503,"9,495,504,403,454 "
East Asia & Pacific,2003,2098602000,"8,466,425,469,011 "
East Asia & Pacific,2002,2081848420,"7,699,642,208,882 "
East Asia & Pacific,2001,2064266243,"7,569,472,361,380 "
East Asia & Pacific,2000,2045729346,"8,134,972,960,509 "
East Asia & Pacific,1999,2026515698,"7,536,036,416,640 "
East Asia & Pacific,1998,2006354328,"6,749,634,417,941 "
East Asia & Pacific,1997,1984871945,"7,571,010,005,587 "
East Asia & Pacific,1996,1962650225,"7,882,231,027,753 "
East Asia & Pacific,1995,1939958969,"8,196,922,828,656 "
East Asia & Pacific,1994,1916928717,"7,259,200,705,016 "
East Asia & Pacific,1993,1893718374,"6,505,779,140,260 "
East Asia & Pacific,1992,1870516977,"5,807,720,344,669 "
East Asia & Pacific,1991,1846419035,"5,321,555,575,557 "
East Asia & Pacific,1990,1820616892,"4,723,765,211,353 "
East Asia & Pacific,1989,1793758539,"4,512,166,698,104 "
East Asia & Pacific,1988,1765937284,"4,311,280,346,879 "
East Asia & Pacific,1987,1737476308,"3,578,742,869,960 "
East Asia & Pacific,1986,1709258866,"3,059,775,474,372 "
East Asia & Pacific,1985,1682528269,"2,349,448,136,643 "
East Asia & Pacific,1984,1657498383,"2,216,860,880,897 "
East Asia & Pacific,1983,1633141623,"2,068,409,630,981 "
East Asia & Pacific,1982,1607549234,"1,950,560,484,151 "
East Asia & Pacific,1981,1581903755,"1,993,389,915,678 "
East Asia & Pacific,1980,1558472173,"1,804,118,123,526 "
East Asia & Pacific,1979,1535753338,"1,667,961,036,119 "
East Asia & Pacific,1978,1512554064,"1,534,538,756,031 "
East Asia & Pacific,1977,1489758534,"1,215,746,585,047 "
East Asia & Pacific,1976,1466838266,"1,019,820,296,647 "
East Asia & Pacific,1975,1442569738,"927,127,851,595 "
East Asia & Pacific,1974,1415351115,"846,727,606,594 "
East Asia & Pacific,1973,1385247264,"734,625,789,387 "
East Asia & Pacific,1972,1354930027,"557,221,988,078 "
East Asia & Pacific,1971,1323056644,"449,284,431,450 "
East Asia & Pacific,1970,1289404691,"404,888,269,859 "
East Asia & Pacific,1969,1256740076,"345,469,571,926 "
East Asia & Pacific,1968,1224109922,"299,912,378,962 "
East Asia & Pacific,1967,1195012928,"272,101,226,123 "
East Asia & Pacific,1966,1166341432,"251,059,731,134 "
East Asia & Pacific,1965,1136733610,"224,590,610,794 "
East Asia & Pacific,1964,1110564125,"201,733,728,222 "
East Asia & Pacific,1963,1085452978,"175,478,297,791 "
East Asia & Pacific,1962,1059977365,"157,405,249,113 "
East Asia & Pacific,1961,1045793993,"153,896,935,337 "
East Asia & Pacific,1960,1042479827,"153,260,797,440 "
East Asia & Pacific (excluding high income),2015,2035129646,"13,067,365,836,501 "
East Asia & Pacific (excluding high income),2014,2020656037,"12,613,483,230,942 "
East Asia & Pacific (excluding high income),2013,2006123447,"11,736,937,181,300 "
East Asia & Pacific (excluding high income),2012,1991783241,"10,654,515,359,178 "
East Asia & Pacific (excluding high income),2011,1977658253,"9,553,720,213,218 "
East Asia & Pacific (excluding high income),2010,1963842316,"7,820,047,724,903 "
East Asia & Pacific (excluding high income),2009,1950280764,"6,451,422,780,838 "
East Asia & Pacific (excluding high income),2008,1936736134,"5,954,994,316,175 "
East Asia & Pacific (excluding high income),2007,1923095029,"4,711,543,268,173 "
East Asia & Pacific (excluding high income),2006,1909251689,"3,726,966,139,386 "
East Asia & Pacific (excluding high income),2005,1894744514,"3,098,395,166,356 "
East Asia & Pacific (excluding high income),2004,1879602648,"2,680,311,883,730 "
East Asia & Pacific (excluding high income),2003,1864184472,"2,311,271,263,097 "
East Asia & Pacific (excluding high income),2002,1848308223,"2,045,056,566,271 "
East Asia & Pacific (excluding high income),2001,1831803900,"1,848,042,678,829 "
East Asia & Pacific (excluding high income),2000,1814543356,"1,734,761,006,169 "
East Asia & Pacific (excluding high income),1999,1796509002,"1,574,796,925,708 "
East Asia & Pacific (excluding high income),1998,1777437867,"1,432,013,910,330 "
East Asia & Pacific (excluding high income),1997,1757273497,"1,563,077,636,107 "
East Asia & Pacific (excluding high income),1996,1736435473,"1,509,483,086,250 "
East Asia & Pacific (excluding high income),1995,1715417437,"1,314,199,145,093 "
East Asia & Pacific (excluding high income),1994,1694082971,"1,064,755,492,301 "
East Asia & Pacific (excluding high income),1993,1672375813,"885,003,477,841 "
East Asia & Pacific (excluding high income),1992,1650544592,"817,076,733,011 "
East Asia & Pacific (excluding high income),1991,1627881291,"730,666,092,997 "
East Asia & Pacific (excluding high income),1990,1603652723,"670,743,614,734 "
East Asia & Pacific (excluding high income),1989,1578320124,"625,037,421,669 "
East Asia & Pacific (excluding high income),1988,1552111436,"576,346,662,502 "
East Asia & Pacific (excluding high income),1987,1525225958,"515,390,295,649 "
East Asia & Pacific (excluding high income),1986,1498637395,"521,621,705,517 "
East Asia & Pacific (excluding high income),1985,1473632648,"525,017,900,909 "
East Asia & Pacific (excluding high income),1984,1450329263,"479,962,127,481 "
East Asia & Pacific (excluding high income),1983,1427842273,"443,971,039,498 "
East Asia & Pacific (excluding high income),1982,1404321928,"423,679,774,112 "
East Asia & Pacific (excluding high income),1981,1380911399,"406,396,619,766 "
East Asia & Pacific (excluding high income),1980,1359783541,"379,701,796,560 "
East Asia & Pacific (excluding high income),1979,1339265399,"327,826,886,247 "
East Asia & Pacific (excluding high income),1978,1318387202,"282,703,680,832 "
East Asia & Pacific (excluding high income),1977,1297790313,"290,185,338,265 "
East Asia & Pacific (excluding high income),1976,1277136144,"250,852,444,550 "
East Asia & Pacific (excluding high income),1975,1254860626,"246,790,667,154 "
East Asia & Pacific (excluding high income),1974,1230702590,"219,542,165,008 "
East Asia & Pacific (excluding high income),1973,1204100118,"194,144,439,220 "
East Asia & Pacific (excluding high income),1972,1175990054,"153,963,756,557 "
East Asia & Pacific (excluding high income),1971,1146964227,"135,807,868,212 "
East Asia & Pacific (excluding high income),1970,1116250866,"126,371,455,224 "
East Asia & Pacific (excluding high income),1969,1086235891,"113,368,996,714 "
East Asia & Pacific (excluding high income),1968,1057180652,"100,967,542,969 "
East Asia & Pacific (excluding high income),1967,1029875983,"99,977,845,064 "
East Asia & Pacific (excluding high income),1966,1003576772,"103,191,181,760 "
East Asia & Pacific (excluding high income),1965,976409639,"94,308,059,267 "
East Asia & Pacific (excluding high income),1964,952838633,"80,785,184,312 "
East Asia & Pacific (excluding high income),1963,930292410,"69,620,014,377 "
East Asia & Pacific (excluding high income),1962,907395358,"64,336,023,661 "
East Asia & Pacific (excluding high income),1961,895784704,"70,289,380,302 "
East Asia & Pacific (excluding high income),1960,896492991,"80,113,571,739 "
East Asia & Pacific (IDA & IBRD countries),2015,2009929013,"13,042,481,396,103 "
East Asia & Pacific (IDA & IBRD countries),2014,1995584007,"12,589,463,128,069 "
East Asia & Pacific (IDA & IBRD countries),2013,1981182565,"11,714,586,302,217 "
East Asia & Pacific (IDA & IBRD countries),2012,1966974740,"10,634,225,757,146 "
East Asia & Pacific (IDA & IBRD countries),2011,1952981621,"9,535,526,876,918 "
East Asia & Pacific (IDA & IBRD countries),2010,1939296199,"7,805,155,855,038 "
East Asia & Pacific (IDA & IBRD countries),2009,1925862760,"6,439,137,210,228 "
East Asia & Pacific (IDA & IBRD countries),2008,1912445321,"5,943,654,104,002 "
East Asia & Pacific (IDA & IBRD countries),2007,1898935255,"4,702,570,984,156 "
East Asia & Pacific (IDA & IBRD countries),2006,1885233245,"3,719,868,804,857 "
East Asia & Pacific (IDA & IBRD countries),2005,1870882188,"3,092,494,831,827 "
East Asia & Pacific (IDA & IBRD countries),2004,1855914203,"2,675,207,713,375 "
East Asia & Pacific (IDA & IBRD countries),2003,1840686278,"2,306,869,864,016 "
East Asia & Pacific (IDA & IBRD countries),2002,1825011514,"2,041,162,125,045 "
East Asia & Pacific (IDA & IBRD countries),2001,1808712336,"1,844,523,415,002 "
East Asia & Pacific (IDA & IBRD countries),2000,1791655658,"1,731,457,466,848 "
East Asia & Pacific (IDA & IBRD countries),1999,1773820531,"1,571,798,009,115 "
East Asia & Pacific (IDA & IBRD countries),1998,1754947036,"1,429,286,898,226 "
East Asia & Pacific (IDA & IBRD countries),1997,1734987785,"1,560,101,036,786 "
East Asia & Pacific (IDA & IBRD countries),1996,1714375070,"1,506,608,548,079 "
East Asia & Pacific (IDA & IBRD countries),1995,1693610863,"1,311,696,489,952 "
East Asia & Pacific (IDA & IBRD countries),1994,1672562483,"1,062,727,857,587 "
East Asia & Pacific (IDA & IBRD countries),1993,1651168577,"883,318,148,405 "
East Asia & Pacific (IDA & IBRD countries),1992,1629666457,"815,520,757,804 "
East Asia & Pacific (IDA & IBRD countries),1991,1607332058,"729,274,671,262 "
East Asia & Pacific (IDA & IBRD countries),1990,1583420482,"669,466,304,546 "
East Asia & Pacific (IDA & IBRD countries),1989,1558388099,"623,847,150,679 "
East Asia & Pacific (IDA & IBRD countries),1988,1532465627,"575,249,114,278 "
East Asia & Pacific (IDA & IBRD countries),1987,1505857510,"514,408,827,826 "
East Asia & Pacific (IDA & IBRD countries),1986,1479545928,"520,628,371,099 "
East Asia & Pacific (IDA & IBRD countries),1985,1454823474,"524,018,099,049 "
East Asia & Pacific (IDA & IBRD countries),1984,1431811586,"479,048,126,212 "
East Asia & Pacific (IDA & IBRD countries),1983,1409622082,"443,125,576,762 "
East Asia & Pacific (IDA & IBRD countries),1982,1386395671,"422,872,952,430 "
East Asia & Pacific (IDA & IBRD countries),1981,1363262173,"405,622,710,733 "
East Asia & Pacific (IDA & IBRD countries),1980,1342386406,"378,978,723,001 "
East Asia & Pacific (IDA & IBRD countries),1979,1322089801,"327,202,599,094 "
East Asia & Pacific (IDA & IBRD countries),1978,1301409787,"282,165,322,682 "
East Asia & Pacific (IDA & IBRD countries),1977,1281008032,"289,632,732,649 "
East Asia & Pacific (IDA & IBRD countries),1976,1260573946,"250,374,741,333 "
East Asia & Pacific (IDA & IBRD countries),1975,1238563024,"246,320,698,859 "
East Asia & Pacific (IDA & IBRD countries),1974,1214719944,"219,124,086,569 "
East Asia & Pacific (IDA & IBRD countries),1973,1188474965,"193,774,726,166 "
East Asia & Pacific (IDA & IBRD countries),1972,1160753692,"153,670,560,363 "
East Asia & Pacific (IDA & IBRD countries),1971,1132130567,"135,549,246,632 "
East Asia & Pacific (IDA & IBRD countries),1970,1101819667,"126,130,803,590 "
East Asia & Pacific (IDA & IBRD countries),1969,1072206476,"113,153,105,915 "
East Asia & Pacific (IDA & IBRD countries),1968,1043552396,"100,775,268,502 "
East Asia & Pacific (IDA & IBRD countries),1967,1016635143,"99,787,455,298 "
East Asia & Pacific (IDA & IBRD countries),1966,990693705,"102,994,672,774 "
East Asia & Pacific (IDA & IBRD countries),1965,963844335,"94,128,466,584 "
East Asia & Pacific (IDA & IBRD countries),1964,940539011,"80,631,343,506 "
East Asia & Pacific (IDA & IBRD countries),1963,918210288,"69,487,435,621 "
East Asia & Pacific (IDA & IBRD countries),1962,895507467,"64,213,507,312 "
East Asia & Pacific (IDA & IBRD countries),1961,884103308,"70,155,526,860 "
East Asia & Pacific (IDA & IBRD countries),1960,885053233,"79,961,009,898 "
Euro area,2015,339425073,"11,539,744,200,243 "
Euro area,2014,338617134,"13,407,425,497,264 "
Euro area,2013,338755304,"13,184,566,405,708 "
Euro area,2012,336161537,"12,634,444,937,185 "
Euro area,2011,336940330,"13,621,187,831,939 "
Euro area,2010,336142557,"12,640,394,222,575 "
Euro area,2009,335353297,"12,903,002,401,225 "
Euro area,2008,334270178,"14,113,385,887,163 "
Euro area,2007,332644496,"12,875,443,086,004 "
Euro area,2006,330925570,"11,182,560,713,393 "
Euro area,2005,329385346,"10,533,601,232,499 "
Euro area,2004,327687926,"10,150,822,253,140 "
Euro area,2003,325890549,"8,850,017,864,403 "
Euro area,2002,324128255,"7,172,616,545,634 "
Euro area,2001,322454670,"6,592,315,690,137 "
Euro area,2000,320997414,"6,486,434,236,202 "
Euro area,1999,319779891,"7,118,844,449,244 "
Euro area,1998,318923150,"7,150,931,157,033 "
Euro area,1997,318278768,"6,959,114,593,251 "
Euro area,1996,317583952,"7,611,827,361,713 "
Euro area,1995,316837436,"7,520,575,802,216 "
Euro area,1994,316105840,"6,515,692,960,195 "
Euro area,1993,315270699,"6,168,830,540,439 "
Euro area,1992,314065808,"6,735,065,197,026 "
Euro area,1991,312674707,"6,104,675,780,195 "
Euro area,1990,311522808,"5,871,828,806,255 "
Euro area,1989,310043791,"4,665,713,777,370 "
Euro area,1988,308674767,"4,567,418,067,789 "
Euro area,1987,307614327,"4,152,830,923,306 "
Euro area,1986,306748199,"3,357,309,385,642 "
Euro area,1985,305968030,"2,392,102,469,721 "
Euro area,1984,305380451,"2,328,306,642,695 "
Euro area,1983,304870908,"2,427,237,101,261 "
Euro area,1982,304270836,"2,488,019,142,817 "
Euro area,1981,303480588,"2,569,872,314,414 "
Euro area,1980,302311356,"2,956,798,746,878 "
Euro area,1979,301109767,"2,639,822,693,361 "
Euro area,1978,299916557,"2,179,093,810,332 "
Euro area,1977,298597020,"1,779,500,318,742 "
Euro area,1976,297374619,"1,564,553,702,777 "
Euro area,1975,296017540,"1,499,325,188,220 "
Euro area,1974,294470414,"1,292,946,270,361 "
Euro area,1973,292789890,"1,140,242,543,462 "
Euro area,1972,290938923,"878,391,849,865 "
Euro area,1971,288999688,"727,061,116,843 "
Euro area,1970,287416203,"641,475,861,772 "
Euro area,1969,285855062,"572,524,611,077 "
Euro area,1968,283966951,"518,256,574,136 "
Euro area,1967,282114541,"483,434,879,624 "
Euro area,1966,280147497,"445,034,283,572 "
Euro area,1965,277856708,"408,113,569,928 "
Euro area,1964,275382199,"374,005,189,860 "
Euro area,1963,272876446,"336,267,272,650 "
Euro area,1962,270324828,"299,745,519,786 "
Euro area,1961,267825309,"270,105,124,294 "
Euro area,1960,265396501,"245,386,241,656 "
Europe & Central Asia,2015,907944124,"19,985,557,261,150 "
Europe & Central Asia,2014,903987814,"23,364,556,897,813 "
Europe & Central Asia,2013,900863153,"23,110,837,459,637 "
Europe & Central Asia,2012,895050287,"22,175,687,215,616 "
Europe & Central Asia,2011,892816142,"23,074,478,120,078 "
Europe & Central Asia,2010,889077523,"20,831,861,081,311 "
Europe & Central Asia,2009,885580688,"20,328,395,650,493 "
Europe & Central Asia,2008,881925905,"23,094,541,896,587 "
Europe & Central Asia,2007,878428497,"21,036,509,418,589 "
Europe & Central Asia,2006,875415605,"17,993,680,902,039 "
Europe & Central Asia,2005,872720228,"16,620,602,117,941 "
Europe & Central Asia,2004,870067822,"15,603,972,322,561 "
Europe & Central Asia,2003,867472980,"13,381,296,525,073 "
Europe & Central Asia,2002,865189443,"10,977,637,441,560 "
Europe & Central Asia,2001,863492336,"10,030,968,549,735 "
Europe & Central Asia,2000,861989674,"9,923,995,518,868 "
Europe & Central Asia,1999,860892312,"10,533,952,901,168 "
Europe & Central Asia,1998,859721023,"10,655,615,214,414 "
Europe & Central Asia,1997,858641127,"10,397,177,313,430 "
Europe & Central Asia,1996,857263836,"10,965,729,057,386 "
Europe & Central Asia,1995,856060572,"10,742,681,748,074 "
Europe & Central Asia,1994,854538617,"9,399,139,642,570 "
Europe & Central Asia,1993,852686641,"8,987,404,887,549 "
Europe & Central Asia,1992,849687540,"9,779,378,932,103 "
Europe & Central Asia,1991,846287676,"9,119,021,509,926 "
Europe & Central Asia,1990,842972172,"8,834,246,521,228 "
Europe & Central Asia,1989,838607561,"7,220,711,968,101 "
Europe & Central Asia,1988,833439109,"7,064,962,213,200 "
Europe & Central Asia,1987,828312655,"6,346,645,427,968 "
Europe & Central Asia,1986,823227203,"5,135,518,754,030 "
Europe & Central Asia,1985,818181288,"3,762,874,077,344 "
Europe & Central Asia,1984,813273557,"3,635,231,134,665 "
Europe & Central Asia,1983,808473556,"3,782,863,843,735 "
Europe & Central Asia,1982,803884347,"3,899,514,211,693 "
Europe & Central Asia,1981,799120587,"4,046,452,346,231 "
Europe & Central Asia,1980,793795423,"4,546,637,687,087 "
Europe & Central Asia,1979,788456015,"4,014,065,937,596 "
Europe & Central Asia,1978,783260461,"3,281,022,133,714 "
Europe & Central Asia,1977,777946308,"2,688,070,796,162 "
Europe & Central Asia,1976,772656242,"2,371,864,333,027 "
Europe & Central Asia,1975,767114225,"2,281,914,943,782 "
Europe & Central Asia,1974,761444994,"1,953,178,690,602 "
Europe & Central Asia,1973,755582491,"1,728,653,947,971 "
Europe & Central Asia,1972,749515255,"1,360,998,856,441 "
Europe & Central Asia,1971,743158081,"1,135,719,777,353 "
Europe & Central Asia,1970,737511115,"1,007,054,316,689 "
Europe & Central Asia,1969,732060925,"895,519,486,138 "
Europe & Central Asia,1968,725974310,"815,666,703,478 "
Europe & Central Asia,1967,719786852,"782,080,010,336 "
Europe & Central Asia,1966,713344146,"726,900,835,065 "
Europe & Central Asia,1965,706691764,"669,091,773,244 "
