budget,genres,popularity,release_date,revenue,runtime,title,vote_average,vote_count,director
"200,000,000",Adventure Action Thriller Crime,107.928811,2008-10-30,"586,090,727",106,Quantum of Solace,6.1,2965,Marc Forster
"200,000,000",Animation Family Adventure Comedy,49.98659,2011-06-11,"559,852,396",106,Cars 2,5.8,2033,John Lasseter
"200,000,000",Action Drama Horror Science Fiction Thriller,81.834855,2013-06-20,"531,865,000",116,World War Z,6.7,5560,Marc Forster
"200,000,000",Fantasy Adventure Family,46.985445,2013-03-07,"491,868,548",130,Oz: The Great and Powerful,5.7,3530,Sam Raimi
"200,000,000",Action Thriller Science Fiction,69.405188,2003-07-02,"435,000,000",109,Terminator 3: Rise of the Machines,5.9,2143,Jonathan Mostow
"200,000,000",Action Science Fiction Thriller,71.862892,2009-05-20,"371,353,001",115,Terminator Salvation,5.9,2463,McG
"200,000,000",Animation Drama,39.744242,2009-11-04,"325,233,863",96,A Christmas Carol,6.6,1095,Robert Zemeckis
"200,000,000",Action Adventure,37.668301,2010-05-12,"310,669,540",140,Robin Hood,6.2,1398,Ridley Scott
"200,000,000",Adventure Action Thriller Science Fiction,51.872839,2011-06-16,"219,851,172",114,Green Lantern,5.1,2487,Martin Campbell
"195,000,000",Action Science Fiction Adventure,28.529607,2011-06-28,"1,123,746,996",154,Transformers: Dark of the Moon,6.1,3299,Michael Bay
"195,000,000",Action Family Fantasy,43.349855,2013-02-27,"197,687,603",114,Jack the Giant Slayer,5.5,2598,Bryan Singer
"190,000,000",Action,102.322217,2015-04-01,"1,506,249,360",137,Furious 7,7.3,4176,James Wan
"190,000,000",Action Adventure Science Fiction,78.291018,2013-05-05,"467,365,246",132,Star Trek Into Darkness,7.4,4418,J.J. Abrams
"190,000,000",Adventure Family Mystery Science Fiction,130.311355,2015-05-19,"209,154,322",130,Tomorrowland,6.2,2846,Brad Bird
"185,000,000",Drama Action Crime Thriller,187.322927,2008-07-16,"1,004,558,444",152,The Dark Knight,8.2,12002,Christopher Nolan
"185,000,000",Adventure Action,75.674458,2008-05-21,"786,636,033",122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Steven Spielberg
"185,000,000",Animation Adventure Comedy Family Action,125.114374,2012-06-21,"538,983,207",93,Brave,6.7,4641,Brenda Chapman
"185,000,000",Action Adventure Science Fiction,65.352913,2016-07-07,"343,471,816",122,Star Trek Beyond,6.6,2568,Justin Lin
"180,000,000",Fantasy Adventure Action Family Romance,110.620647,2014-05-28,"758,539,785",97,Maleficent,7,4496,Robert Stromberg
"180,000,000",Adventure Family Fantasy,67.391328,2005-12-07,"748,806,957",143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Andrew Adamson
"180,000,000",Animation Family,66.390712,2008-06-22,"521,311,860",98,WALL쨌E,7.8,6296,Andrew Stanton
"180,000,000",Action Science Fiction Adventure,56.523205,2013-07-11,"407,602,906",131,Pacific Rim,6.7,4794,Guillermo del Toro
"180,000,000",Adventure Fantasy,42.990906,2007-12-04,"372,234,864",113,The Golden Compass,5.8,1303,Chris Weitz
"180,000,000",Action Adventure,42.741719,2016-06-29,"356,743,061",109,The Legend of Tarzan,5.5,2430,David Yates
"178,000,000",Science Fiction,139.272042,2016-05-18,"543,934,787",144,X-Men: Apocalypse,6.4,4721,Bryan Singer
"178,000,000",Action Science Fiction,79.456485,2014-05-27,"370,541,256",113,Edge of Tomorrow,7.6,4858,Doug Liman
"175,000,000",Family Adventure Drama Fantasy,94.199316,2016-04-07,"966,550,600",106,The Jungle Book,6.7,2892,Jon Favreau
"175,000,000",Drama Comedy Animation Family,128.655964,2015-06-09,"857,611,174",94,Inside Out,8,6560,Pete Docter
"175,000,000",Action Adventure Crime Fantasy Science Fiction,90.23792,2016-08-02,"745,000,000",123,Suicide Squad,5.9,7458,David Ayer
"175,000,000",Animation Comedy Family Adventure,92.201962,2009-05-13,"735,099,082",96,Up,7.7,6870,Pete Docter
"175,000,000",Adventure Drama War,66.803149,2004-05-13,"497,409,852",163,Troy,6.9,2759,Wolfgang Petersen
"175,000,000",Animation Family Adventure Science Fiction,36.167578,2009-03-19,"381,509,870",94,Monsters vs Aliens,6,1423,Conrad Vernon
"175,000,000",Adventure Animation Family,51.692953,2015-11-14,"331,926,147",93,The Good Dinosaur,6.6,1736,Peter Sohn
"175,000,000",Adventure Action Thriller Science Fiction,32.852443,2009-08-04,"302,469,017",118,G.I. Joe: The Rise of Cobra,5.6,1962,Stephen Sommers
"175,000,000",Adventure Action,44.640292,1995-07-28,"264,218,220",135,Waterworld,5.9,992,Kevin Reynolds
"175,000,000",Fantasy Comedy Family,27.082182,2007-06-09,"173,000,000",96,Evan Almighty,5.3,1151,Tom Shadyac
"175,000,000",Drama Action Adventure Fantasy,41.796339,2013-12-06,"150,962,475",119,47 Ronin,5.9,1326,Carl Rinsch
"170,000,000",Action Science Fiction Adventure,481.098624,2014-07-30,"773,328,629",121,Guardians of the Galaxy,7.9,9742,James Gunn
"170,000,000",Action Adventure Science Fiction,72.225265,2014-03-20,"714,766,572",136,Captain America: The Winter Soldier,7.6,5764,Anthony Russo
"170,000,000",Science Fiction Action Drama Thriller,243.791743,2014-06-26,"710,644,566",130,Dawn of the Planet of the Apes,7.3,4410,Matt Reeves
"170,000,000",Action Adventure Fantasy,99.499595,2013-10-29,"644,571,402",112,Thor: The Dark World,6.8,4755,Alan Taylor
"170,000,000",Adventure Action Science Fiction,73.79505,2010-12-10,"400,062,763",125,TRON: Legacy,6.3,2841,Joseph Kosinski
"170,000,000",Adventure Fantasy Drama,77.178973,2012-05-30,"396,600,000",127,Snow White and the Huntsman,5.8,3118,Rupert Sanders
"170,000,000",Fantasy,56.268916,2016-05-25,"299,370,084",113,Alice Through the Looking Glass,6.5,1725,James Bobin
"170,000,000",Action Adventure Comedy Science Fiction Western,40.748915,1999-06-29,"222,104,681",106,Wild Wild West,5.1,1020,Barry Sonnenfeld
"170,000,000",Adventure Drama Family,32.319043,2011-11-22,"185,770,160",126,Hugo,7,2141,Martin Scorsese
"165,000,000",Comedy Adventure Fantasy Animation Family,44.041186,2010-05-16,"752,600,867",93,Shrek Forever After,6,1959,Mike Mitchell
"165,000,000",Adventure Drama Science Fiction,724.247784,2014-11-05,"675,120,017",169,Interstellar,8.1,10867,Christopher Nolan
"165,000,000",Adventure Family Animation Action Comedy,203.73459,2014-10-24,"652,105,443",102,Big Hero 6,7.8,6135,Chris Williams
"165,000,000",Fantasy Adventure Animation Family,67.263269,2010-03-05,"494,878,759",98,How to Train Your Dragon,7.5,4227,Chris Sanders
"165,000,000",Family Animation Comedy Adventure,62.341073,2012-11-01,"471,222,889",108,Wreck-It Ralph,7.1,4570,Rich Moore
"165,000,000",Action Adventure Science Fiction,48.775723,2016-06-22,"389,681,935",120,Independence Day: Resurgence,4.9,2491,Roland Emmerich
"165,000,000",Adventure Animation Family Fantasy,47.323228,2004-11-10,"305,875,730",100,The Polar Express,6.4,1474,Robert Zemeckis
"160,000,000",Action Thriller Science Fiction Mystery Adventure,167.58371,2010-07-14,"825,532,764",148,Inception,8.1,13752,Christopher Nolan
"160,000,000",Fantasy Adventure Animation Comedy Family,42.986467,2007-05-17,"798,958,165",93,Shrek the Third,6,2278,Chris Miller
"160,000,000",Action Adventure Science Fiction,127.284427,2015-11-18,"653,428,261",137,The Hunger Games: Mockingjay - Part 2,6.6,3984,Francis Lawrence
"160,000,000",Action Adventure Fantasy,63.148529,2016-05-25,"433,677,183",123,Warcraft,6.3,2268,Duncan Jones
"160,000,000",Action Science Fiction Adventure,3.195174,2011-05-24,"353,624,124",132,X-Men: First Class,7.1,5181,Matthew Vaughn
"160,000,000",Adventure Action Drama Thriller,21.133748,2006-05-12,"181,674,817",99,Poseidon,5.5,583,Wolfgang Petersen
"160,000,000",Action Adventure Thriller,23.336875,1997-06-13,"164,508,066",121,Speed 2: Cruise Control,4.1,434,Jan de Bont
"160,000,000",Adventure Fantasy Action,27.220157,1999-08-27,"61,698,899",102,The 13th Warrior,6.4,510,John McTiernan
"155,000,000",Science Fiction Action Thriller Adventure,202.042635,2015-06-23,"440,603,537",126,Terminator Genisys,5.8,3631,Alan Taylor
"155,000,000",Adventure Family Fantasy,49.661984,2010-08-13,"415,686,217",113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Michael Apted
"155,000,000",War History Action Adventure Drama,39.019229,2004-11-21,"167,298,192",175,Alexander,5.6,927,Oliver Stone
"150,000,000",Animation Adventure Family,165.125366,2013-11-27,"1,274,219,009",102,Frozen,7.3,5295,Chris Buck
"150,000,000",Adventure Fantasy Family Mystery,78.144395,2007-06-28,"938,212,738",138,Harry Potter and the Order of the Phoenix,7.4,5494,David Yates
"150,000,000",Adventure Animation Comedy Family Fantasy,47.320801,2004-05-19,"919,838,758",93,Shrek 2,6.7,2988,Andrew Adamson
"150,000,000",Adventure Fantasy Family,101.250416,2005-11-05,"895,921,036",157,Harry Potter and the Goblet of Fire,7.5,5608,Mike Newell
"150,000,000",Science Fiction Action Adventure,21.939663,2009-06-19,"836,297,228",150,Transformers: Revenge of the Fallen,6,3138,Michael Bay
"150,000,000",Adventure Action Thriller Science Fiction,70.78591,2003-05-15,"738,599,701",138,The Matrix Reloaded,6.7,3443,Lilly Wachowski
"150,000,000",Adventure Science Fiction Action,25.468493,2007-06-27,"709,709,780",144,Transformers,6.6,4040,Michael Bay
"150,000,000",Action Adventure Thriller,114.522237,2015-07-23,"682,330,139",131,Mission: Impossible - Rogue Nation,7.1,3224,Christopher McQuarrie
"150,000,000",Animation Family,51.247321,2011-05-25,"665,692,281",91,Kung Fu Panda 2,6.7,1880,Jennifer Yuh Nelson
"150,000,000",Fantasy Action,56.758411,2008-07-01,"624,029,371",92,Hancock,6.2,2961,Peter Berg
"150,000,000",Animation Comedy Family Fantasy,65.677399,2007-06-22,"623,722,818",111,Ratatouille,7.5,4369,Jan Pinkava
"150,000,000",Family Animation,44.141021,2008-10-30,"603,900,354",89,Madagascar: Escape 2 Africa,6.2,1810,Eric Darnell
"150,000,000",Adventure Action Thriller,88.935165,2006-11-14,"599,045,960",144,Casino Royale,7.3,3855,Martin Campbell
"150,000,000",Drama Horror Action Thriller Science Fiction,70.867401,2007-12-14,"585,349,010",101,I Am Legend,6.9,4853,Francis Lawrence
"150,000,000",Adventure Comedy Family Fantasy,53.905592,2005-07-13,"474,968,763",115,Charlie and the Chocolate Factory,6.7,3624,Tim Burton
"150,000,000",Adventure Fantasy Action,86.493424,2011-04-21,"449,326,618",115,Thor,6.6,6525,Kenneth Branagh
"150,000,000",Adventure Action Thriller Science Fiction,73.313918,2003-11-05,"424,988,211",129,The Matrix Revolutions,6.4,3096,Lilly Wachowski
"150,000,000",Adventure Fantasy Action Comedy Family,81.781591,2009-05-20,"413,106,170",105,Night at the Museum: Battle of the Smithsonian,5.9,1971,Shawn Levy
"150,000,000",Adventure Action Thriller,63.079003,2006-05-03,"397,850,012",126,Mission: Impossible III,6.5,2028,J.J. Abrams
"150,000,000",Science Fiction Action Adventure,73.616808,2009-05-06,"385,680,446",127,Star Trek,7.4,4518,J.J. Abrams
"150,000,000",Action Adventure Science Fiction Thriller,434.278564,2015-05-13,"378,858,340",120,Mad Max: Fury Road,7.2,9427,George Miller
"150,000,000",Action Crime Drama,115.040024,2005-06-10,"374,218,673",140,Batman Begins,7.5,7359,Christopher Nolan
"150,000,000",Adventure Action Thriller Science Fiction,5.954334,2009-04-28,"373,062,864",107,X-Men Origins: Wolverine,6.2,4021,Gavin Hood
"150,000,000",Thriller Mystery,67.447636,2009-05-13,"356,613,439",138,Angels & Demons,6.5,2129,Ron Howard
"150,000,000",Adventure Fantasy Action Romance,62.169881,2010-05-19,"335,154,643",116,Prince of Persia: The Sands of Time,6.2,2317,Mike Newell
"150,000,000",Fantasy Drama Thriller Mystery Romance,60.269279,2008-11-24,"333,932,083",166,The Curious Case of Benjamin Button,7.3,3292,David Fincher
"150,000,000",Action Adventure Family Fantasy,33.769336,2010-06-30,"318,502,923",103,The Last Airbender,4.7,1151,M. Night Shyamalan
"150,000,000",Animation Family Comedy,47.973995,2005-11-04,"314,432,665",81,Chicken Little,5.6,944,Mark Dindal
"150,000,000",Animation Family Adventure Comedy,41.845878,2008-11-21,"309,979,994",98,Bolt,6.3,1750,Chris Williams
"150,000,000",Adventure,44.927635,2012-03-27,"301,000,000",99,Wrath of the Titans,5.5,1431,Jonathan Liebesman
"150,000,000",Fantasy Action Adventure Family Comedy,26.710398,2009-07-21,"292,817,841",88,G-Force,5.1,510,Hoyt Yeatman
"150,000,000",Family Animation Adventure Comedy,29.332905,2007-10-28,"287,594,577",91,Bee Movie,5.7,1171,Steve Hickner
"150,000,000",Comedy Fantasy,50.306728,2012-05-08,"245,527,149",113,Dark Shadows,5.7,2320,Tim Burton
"150,000,000",Fantasy Adventure Action Comedy Drama,35.580815,2010-07-13,"215,283,742",109,The Sorcerer's Apprentice,5.8,1470,Jon Turteltaub
"150,000,000",Adventure,36.973031,2003-11-14,"212,011,111",138,Master and Commander: The Far Side of the World,6.9,790,Peter Weir
"150,000,000",Action Drama Thriller,39.004588,2013-06-27,"205,366,737",131,White House Down,6.4,1891,Roland Emmerich
"150,000,000",Science Fiction Action Adventure,62.898336,2008-06-12,"163,712,074",114,The Incredible Hulk,6.1,3021,Louis Leterrier
"150,000,000",Adventure Family Fantasy,48.03528,2015-09-24,"128,388,320",111,Pan,5.9,954,Joe Wright
"150,000,000",Adventure Animation Family,12.362599,2011-03-09,"38,992,758",88,Mars Needs Moms,5.5,199,Simon Wells
"150,000,000",Drama Horror Thriller,21.214571,2010-02-11,0,102,The Wolfman,5.5,549,Joe Johnston
"149,000,000",Adventure Animation Comedy Family,22.550135,2006-10-22,"64,459,316",85,Flushed Away,6,874,David Bowers
"145,000,000",Animation Family,44.989192,2012-06-06,"746,921,274",93,Madagascar 3: Europe's Most Wanted,6.4,1808,Conrad Vernon
"145,000,000",Action Thriller Adventure,77.77477,2011-12-07,"694,713,380",133,Mission: Impossible - Ghost Protocol,6.8,3972,Brad Bird
"145,000,000",Fantasy Action Adventure Animation Comedy,100.21391,2014-06-12,"609,123,048",102,How to Train Your Dragon 2,7.6,3106,Dean DeBlois
"145,000,000",Action Adventure Animation Comedy Family,56.747978,2016-01-23,"521,170,825",95,Kung Fu Panda 3,6.7,1603,Jennifer Yuh Nelson
"145,000,000",Adventure Action Fantasy,60.034162,2008-07-01,"401,128,639",112,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Rob Cohen
"145,000,000",Fantasy Animation Family,61.788035,2012-11-21,"306,941,670",97,Rise of the Guardians,7.1,1922,Peter Ramsey
"145,000,000",Animation Adventure Family,38.73494,2014-02-07,"272,912,430",92,Mr. Peabody & Sherman,6.7,843,Rob Minkoff
"145,000,000",Western History War,10.660441,2004-04-07,"25,819,961",137,The Alamo,5.8,106,John Lee Hancock
"144,000,000",Action Fantasy Comedy,66.21806,2016-07-14,"229,147,509",116,Ghostbusters,5.3,2142,Paul Feig
"140,000,000",Adventure Fantasy Action,271.972889,2003-07-09,"655,011,224",143,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Gore Verbinski
"140,000,000",Action Science Fiction Adventure,120.725053,2008-04-30,"585,174,222",126,Iron Man,7.4,8776,Jon Favreau
"140,000,000",Action Thriller Science Fiction Adventure,58.485967,1998-07-01,"553,799,566",151,Armageddon,6.4,2482,Michael Bay
"140,000,000",Drama Action War History,52.341226,2003-12-05,"456,758,981",154,The Last Samurai,7.3,1895,Edward Zwick
"140,000,000",History Romance War,34.20669,2001-05-21,"449,220,945",183,Pearl Harbor,6.6,1791,Michael Bay
"140,000,000",Action Adventure Comedy Science Fiction,91.332849,2002-07-03,"441,818,803",88,Men in Black II,6,3114,Barry Sonnenfeld
"140,000,000",Adventure Action Thriller,54.159392,2002-11-17,"431,971,116",133,Die Another Day,5.8,1092,Lee Tamahori
"140,000,000",Action Adventure Science Fiction,74.506246,2011-07-22,"370,569,774",124,Captain America: The First Avenger,6.6,7047,Joe Johnston
"140,000,000",Action Adventure Comedy Crime Thriller,24.855701,1998-07-10,"285,444,603",127,Lethal Weapon 4,6.3,767,Richard Donner
"140,000,000",Adventure Drama Action,101.599427,2014-12-03,"268,031,828",150,Exodus: Gods and Kings,5.6,1921,Ridley Scott
"140,000,000",Action Comedy Crime Thriller,22.57178,2007-08-08,"258,022,233",91,Rush Hour 3,6.1,783,Brett Ratner
"140,000,000",Adventure Family Fantasy,44.19092,2016-06-01,"183,345,589",120,The BFG,6,1000,Steven Spielberg
"140,000,000",Fantasy,56.257249,2016-02-25,"150,680,864",127,Gods of Egypt,5.3,1277,Alex Proyas
"140,000,000",Adventure Animation Family Fantasy Science Fiction,38.924136,2002-11-26,"109,578,115",95,Treasure Planet,7.2,948,Ron Clements
"139,000,000",Fantasy Action,82.502566,2002-05-01,"821,708,551",121,Spider-Man,6.8,5265,Sam Raimi
"137,000,000",Drama Action Science Fiction,34.981698,2003-06-19,"245,360,480",138,Hulk,5.3,1533,Ang Lee
"137,000,000",Adventure Action Animation Fantasy Science Fiction,26.074908,2001-07-02,"85,131,830",106,Final Fantasy: The Spirits Within,5.9,433,Hironobu Sakaguchi
"135,000,000",Adventure Animation Comedy Family Fantasy,64.183321,2013-03-20,"585,178,928",98,The Croods,6.8,2399,Chris Sanders
"135,000,000",Western Drama Adventure Thriller,100.635882,2015-12-25,"532,950,503",156,The Revenant,7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
"135,000,000",Fantasy Comedy Animation Science Fiction Family,63.473086,2015-03-18,"368,871,007",94,Home,6.8,1519,Tim Johnson
"135,000,000",Adventure Action Thriller,39.604363,1999-11-08,"361,832,400",128,The World Is Not Enough,6,862,Michael Apted
"135,000,000",Animation Family,44.765377,2013-07-11,"282,570,682",96,Turbo,6.1,1074,David Soren
"135,000,000",Animation Comedy Family Western Adventure,29.91353,2011-03-02,"245,724,603",107,Rango,6.6,2051,Gore Verbinski
"135,000,000",Fantasy Action Adventure Comedy,39.873791,2016-06-01,"245,623,848",112,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,Dave Green
"135,000,000",Action,17.88953,2005-07-28,"76,932,943",121,Stealth,4.9,331,Rob Cohen
"133,000,000",Animation Fantasy Family Comedy,30.475297,1999-12-17,"300,135,367",84,Stuart Little,5.8,959,Rob Minkoff
"132,000,000",Adventure Thriller Science Fiction,48.572726,2005-06-28,"591,739,379",116,War of the Worlds,6.2,2322,Steven Spielberg
"132,000,000",Family Animation Adventure Comedy,84.366984,2014-11-22,"373,552,094",92,Penguins of Madagascar,6.5,1346,Eric Darnell
"130,000,000",Adventure Action Science Fiction,76.310119,2013-11-15,"847,423,452",146,The Hunger Games: Catching Fire,7.4,6495,Francis Lawrence
"130,000,000",Adventure Fantasy Family,79.679601,2004-05-31,"789,804,554",141,Harry Potter and the Prisoner of Azkaban,7.7,5877,Alfonso Cuar\u00f3n
"130,000,000",Adventure Animation Family Comedy,84.689648,2008-06-04,"631,744,560",90,Kung Fu Panda,6.9,3145,Mark Osborne
"130,000,000",Action Adventure Animation Family Fantasy,20.678787,2011-10-28,"554,987,477",90,Puss in Boots,6.4,451,Chris Miller
"130,000,000",Science Fiction Action Adventure,120.09361,2015-07-14,"519,311,965",117,Ant-Man,7,5880,Peyton Reed
"130,000,000",Science Fiction Adventure Mystery,68.889395,2012-05-30,"403,170,142",124,Prometheus,6.3,5080,Ridley Scott
"130,000,000",Adventure Animation Mystery,89.938296,2011-10-25,"371,940,071",107,The Adventures of Tintin,6.7,2061,Steven Spielberg
"130,000,000",Adventure Action Science Fiction Thriller,59.325589,2013-03-26,"371,876,278",110,G.I. Joe: Retaliation,5.4,3025,Jon M. Chu
"130,000,000",Animation Action Comedy Family Science Fiction,68.757242,2010-10-28,"321,887,208",95,Megamind,6.7,1918,Tom McGrath
"130,000,000",Adventure Fantasy Action Thriller,60.810723,2007-06-13,"289,047,763",92,Fantastic 4: Rise of the Silver Surfer,5.4,2589,Tim Story
"130,000,000",Action Thriller,90.33681,2012-08-08,"276,572,938",120,The Bourne Legacy,6,2651,Tony Gilroy
"130,000,000",Adventure Action Comedy Thriller Crime,38.068736,2003-07-18,"273,339,556",147,Bad Boys II,6.3,1564,Michael Bay
"130,000,000",Science Fiction Action Adventure,42.840582,2013-05-30,"243,843,127",100,After Earth,5,2532,M. Night Shyamalan
"130,000,000",Drama Action Adventure History War,44.490453,2005-05-03,"211,643,158",144,Kingdom of Heaven,6.6,1157,Ridley Scott
"130,000,000",Action Mystery Science Fiction,64.798873,2009-03-05,"185,258,983",163,Watchmen,7,2811,Zack Snyder
"130,000,000",Animation Comedy Family,17.7735,2011-11-17,"150,406,466",100,Happy Feet Two,5.8,373,George Miller
"130,000,000",Action Adventure Comedy Drama Mystery,21.605568,2005-04-06,"119,269,486",124,Sahara,5.7,434,Breck Eisner
"130,000,000",Action Adventure History Romance Drama,50.561849,2014-02-18,"117,831,631",105,Pompeii,5.2,1267,Paul W.S. Anderson
"130,000,000",Fantasy Action Comedy Crime,39.448066,2013-07-18,"61,648,500",96,R.I.P.D.,5.4,1260,Robert Schwentke
"130,000,000",Drama,28.840997,2008-11-18,"49,554,002",165,Australia,6.3,694,Baz Luhrmann
"127,500,000",Animation Family,26.548594,2000-05-19,"354,248,063",82,Dinosaur,6.2,542,Ralph Zondag
"127,000,000",Adventure Comedy Fantasy Family,115.597753,2014-12-17,"349,424,282",97,Night at the Museum: Secret of the Tomb,6.1,1851,Shawn Levy
"126,000,000",Action Thriller Science Fiction Adventure,37.68056,2005-07-20,"162,949,164",136,The Island,6.5,1770,Michael Bay
"125,000,000",Adventure Fantasy Family,109.984351,2001-11-16,"976,475,550",152,Harry Potter and the Philosopher's Stone,7.5,7006,Chris Columbus
"125,000,000",Thriller Mystery,45.313197,2006-05-17,"767,820,459",149,The Da Vinci Code,6.5,2704,Ron Howard
"125,000,000",Science Fiction Adventure Thriller,206.227151,2014-11-18,"752,100,229",123,The Hunger Games: Mockingjay - Part 1,6.6,5584,Francis Lawrence
"125,000,000",Action Thriller Crime,7.255718,2011-04-20,"626,137,675",130,Fast Five,7.1,2438,Justin Lin
"125,000,000",Adventure Action Thriller,54.931334,2000-05-24,"546,388,105",123,Mission: Impossible II,5.9,1928,John Woo
"125,000,000",Science Fiction Action Adventure Fantasy Comedy,143.350376,2014-08-07,"477,200,000",101,Teenage Mutant Ninja Turtles,5.8,2636,Jonathan Liebesman
"125,000,000",Drama Adventure,46.115758,2014-03-20,"362,637,473",139,Noah,5.6,2350,Darren Aronofsky
"125,000,000",Adventure Action Crime Mystery,81.499621,2011-11-22,"334,615,000",129,Sherlock Holmes: A Game of Shadows,7,3886,Guy Ritchie
